Attribute_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,Mandatory,DataType_Kind,Value_Type,Formula,ScopeEntityID,Num_ScopeEntityID,Domain_ID,Num_Domain_ID,Logical_Type_ID,Num_Logical_Type_ID,Distinct_Type_ID,Num_Distinct_Type_ID,Structured_Type_ID,Num_Structured_Type_ID,Collection_Type_ID,Num_Collection_Type_ID,Check_Constraint_Name,Default_Value,Use_Domain_Constraint,Domain_Name,Logical_Type_Name,Structured_Type_Name,Distinct_Type_Name,Collection_Type_Name,Synonyms,Preferred_Abbreviation,Relation_ID,Num_Relation_ID,Entity_Name,PK_Flag,FK_Flag,Relation_Name,Sequence,T_Size,T_Precision,T_Scale,Data_Source
"category_name",CC022312-A9FE-1B29-2A3D-3ACD35FA991B,102,,81F83852-7B93-698E-8486-3E5C90F96089,89,Y,Logical Type,,,,,DOM3000004,11,LOGDT024,77,,,,,,,,,N,,VARCHAR,,,,,,,,"IncomeCategories (For Premium Users)",,,,3,255,,,,
"category_name",B73A2157-B4E7-CC23-9268-24038624B977,103,,1F5F29B8-772F-27B4-9506-52717DA4FBA9,87,Y,Logical Type,,,,,DOM3000004,11,LOGDT024,77,,,,,,,,,N,,VARCHAR,,,,,,,,"ExpenseCategories (For Premium Users)",,,,2,255,,,,
"created_at",1346A35D-C6D0-5C71-D78B-499654587961,104,,889C546B-BEB0-137B-BB6E-C22D6934D257,91,Y,Logical Type,,,,,DOM3000004,11,LOGDT008,30,,,,,,,,,N,,Datetime,,,,,,,,"Users",,,,5,,,,,
"created_at",FED9D395-FDD0-61ED-B4DF-04EB0F3E880E,105,,C0E63DD3-0742-CE38-F039-0515F156332E,86,Y,Logical Type,,,,,DOM3000004,11,LOGDT008,30,,,,,,,,,N,,Datetime,,,,,,,,"Budgets (for premium users)",,,,3,,,,,
"created_at",0BC9C5C7-D016-DCF7-1529-6D345CB4FE4B,106,,81F83852-7B93-698E-8486-3E5C90F96089,89,Y,Logical Type,,,,,DOM3000004,11,LOGDT008,30,,,,,,,,,N,,Datetime,,,,,,,,"IncomeCategories (For Premium Users)",,,,4,,,,,
"created_at",DFAB5108-2BF2-6DE7-D38C-418D8BBEB301,107,,1F5F29B8-772F-27B4-9506-52717DA4FBA9,87,Y,Logical Type,,,,,DOM3000004,11,LOGDT008,30,,,,,,,,,N,,Datetime,,,,,,,,"ExpenseCategories (For Premium Users)",,,,3,,,,,
"created_at",9E2C1030-F475-B24B-88E6-2B8C74915F3D,108,,6E2D467E-A640-E9BC-B730-366F96498C13,90,Y,Logical Type,,,,,DOM3000004,11,LOGDT008,30,,,,,,,,,N,,Datetime,,,,,,,,"Incomes (For Premium Users)",,,,4,,,,,
"created_at",FF302183-32A6-812B-D112-5C2A0204C60A,109,,4CBCCAFA-A942-87FE-9AB8-24E6F43C6BF6,88,Y,Logical Type,,,,,DOM3000004,11,LOGDT008,30,,,,,,,,,N,,Datetime,,,,,,,,"Expenses (For Premium Users)",,,,6,,,,,
"description",923CE50C-ABE0-F1D5-FB0F-2C86989FEB6D,110,,6E2D467E-A640-E9BC-B730-366F96498C13,90,N,Logical Type,,,,,DOM3000004,11,LOGDT024,77,,,,,,,,,N,,VARCHAR,,,,,,,,"Incomes (For Premium Users)",,,,3,255,,,,
"description",807876A0-388B-F2F9-8ED7-6F665CE7914F,111,,4CBCCAFA-A942-87FE-9AB8-24E6F43C6BF6,88,N,Logical Type,,,,,DOM3000004,11,LOGDT024,77,,,,,,,,,N,,VARCHAR,,,,,,,,"Expenses (For Premium Users)",,,,5,255,,,,
"expense_id",227EA81B-2FFF-BB1B-22F2-F2E4D9985004,112,,4CBCCAFA-A942-87FE-9AB8-24E6F43C6BF6,88,Y,Logical Type,,,,,DOM3000004,11,LOGDT011,42,,,,,,,,,N,,Integer,,,,,,,,"Expenses (For Premium Users)",P,,,1,,,,,
"income_id",666132C3-16D3-807C-E861-3FD1FA3431E9,113,,6E2D467E-A640-E9BC-B730-366F96498C13,90,Y,Logical Type,,,,,DOM3000004,11,LOGDT011,42,,,,,,,,,N,,Integer,,,,,,,,"Incomes (For Premium Users)",P,,,1,,,,,
"password",4B239199-3E7A-19D9-B11C-4236B765C349,114,,889C546B-BEB0-137B-BB6E-C22D6934D257,91,Y,Domain,,,,,C5428215-20D6-8392-9CD9-52DA52901965,13,LOGDT024,77,,,,,,,,,Y,"VARCHAR15",VARCHAR,,,,,,,,"Users",,,,3,15,,,,
"updated_at",6383E6B4-558A-6ABA-0283-D3A24A838ECB,115,,889C546B-BEB0-137B-BB6E-C22D6934D257,91,Y,Logical Type,,,,,DOM3000004,11,LOGDT008,30,,,,,,,,,N,,Datetime,,,,,,,,"Users",,,,6,,,,,
"updated_at",2D7D7928-BCF8-28B8-5BEE-97A1AC80779F,116,,C0E63DD3-0742-CE38-F039-0515F156332E,86,Y,Logical Type,,,,,DOM3000004,11,LOGDT008,30,,,,,,,,,N,,Datetime,,,,,,,,"Budgets (for premium users)",,,,4,,,,,
"updated_at",B4D237CC-7C61-4E16-FE87-A9633752D6AE,117,,81F83852-7B93-698E-8486-3E5C90F96089,89,Y,Logical Type,,,,,DOM3000004,11,LOGDT008,30,,,,,,,,,N,,Datetime,,,,,,,,"IncomeCategories (For Premium Users)",,,,5,,,,,
"updated_at",A354E6CA-7E4B-E373-F7FF-8ECB1ECBDA60,118,,1F5F29B8-772F-27B4-9506-52717DA4FBA9,87,Y,Logical Type,,,,,DOM3000004,11,LOGDT008,30,,,,,,,,,N,,Datetime,,,,,,,,"ExpenseCategories (For Premium Users)",,,,4,,,,,
"updated_at",85F10BF5-049A-03EF-63D9-6896B98029E7,119,,6E2D467E-A640-E9BC-B730-366F96498C13,90,Y,Logical Type,,,,,DOM3000004,11,LOGDT008,30,,,,,,,,,N,,Datetime,,,,,,,,"Incomes (For Premium Users)",,,,5,,,,,
"updated_at",7DD43CA4-A54B-CC99-73AE-9533AB29C404,120,,4CBCCAFA-A942-87FE-9AB8-24E6F43C6BF6,88,Y,Logical Type,,,,,DOM3000004,11,LOGDT008,30,,,,,,,,,N,,Datetime,,,,,,,,"Expenses (For Premium Users)",,,,7,,,,,
"user_id",EE051FC8-2014-1FC9-593B-AC5C1272856E,121,,889C546B-BEB0-137B-BB6E-C22D6934D257,91,Y,Logical Type,,,,,DOM3000004,11,LOGDT011,42,,,,,,,,,N,,Integer,,,,,,,,"Users",P,,,1,,,,,
